Date,Salary,Social,Materials,Equipment,Overheads,Amount
2018-01-28,4884,1025,5249,2094,2954,16206
2018-02-28,4540,1021,5037,2050,2988,15636
2018-03-28,4916,1034,5185,2027,1484,14646
2018-04-28,4718,1022,5120,2058,1439,14357
2018-05-28,4872,1019,5245,2092,1469,14697
2018-06-28,4802,1040,5048,2037,1496,14423
2018-07-28,4635,1002,5046,2031,1431,14145
2018-08-28,4659,1070,5176,2089,1421,14415
2018-09-28,4757,1007,5001,2002,1498,14265
2018-10-28,4538,1032,5215,2014,1490,14289
2018-11-28,4764,1082,5127,2044,1411,14428
2018-12-28,4734,1059,5193,2038,2994,16018
2019-01-28,4618,1058,5168,2063,2616,15523
2019-02-28,4580,1064,5127,2043,2842,15656
2019-03-28,4673,1032,5355,2083,1436,14579
2019-04-28,4703,1031,5375,2085,1433,14627
2019-05-28,4690,1079,5157,2089,1487,14502
2019-06-28,4752,1056,5003,2007,1447,14265
2019-07-28,4687,1070,5344,2073,1434,14608
2019-08-28,4542,1000,5333,2031,1459,14365
2019-09-28,4829,1045,5153,2028,1439,14494
2019-10-28,4853,1088,5010,2054,1448,14453
2019-11-28,4871,1042,5204,2085,1410,14612
2019-12-28,4671,1048,5337,2071,2662,15789
